Desayuno - General -----------------------------------------------------------------------------------

Fresa Entera	0.14705882352941177	2.5	30.0	9.558823529411764	0.20588235294117646	0.08823529411764706	2.3088235294117645	30	2.5
Azúcar de mesa	3.0	6.0	24.0	99.0	0.0	0.0	25.200000000000003	24.0	6
Hojuelas de avena	0.576923076923077	0.19211538461538463	15.0	37.5	2.6538461538461537	1.096153846153846	10.096153846153847	15	0.19211538461538463
Tortilla de harina	1.0	1.0	28.0	80.0	1.9	1.9	13.4	28.0	1
Jamón Virginia	0.6666666666666666	1.0	21.333333333333332	63.33333333333333	3.2666666666666666	5.466666666666666	0.13333333333333333	21.333333333333332	1
Queso Panela	0.5	20.0	20.0	29.0	3.05	1.4	1.0	20	20.0
Espinaca cruda	0.125	0.25	15.0	3.5	0.425	0.05	0.55	15	0.25



Datos - Generales ------TARGETS:--NRG:500/1000--PTN:18.75/37.5--LIP:16.66/33.33--CRB:68.75/137.5--------------------------

Verduras	1	1	1	25	2	0	4	1	1.0
Frutas	1	1	1	60	0	0	15	1	1.0
Cereales y tuberculos con grasa	1	1	1	115	2	5	15	1	1.0
Leguminosas	1	1	1	120	8	1	20	1	1.0
Origen Animal MBAG	1	1	1	40	7	1	0	1	1.0
Leche Descremada	1	1	1	95	9	2	12	1	1.0
Aceites y grasas sin proteína	1	1	1	45	0	5	0	1	1.0
Azúcares sin grasa	1	1	1	40	0	0	10	1	1.0
Azúcares con grasa	1.0	1.0	1.0	40.0	0.0	5.0	10.0	1	1.0
Alimentos libres en energía	1	1	1	0	0	0	0	1	1.0

Desayuno - General

Verduras	2.0	2.0	2.0	50.0	4.0	0.0	8.0	2	2.0
Frutas	1.5	1.5	1.5	90.0	0.0	0.0	22.5	1.5	1.5
Cereales y tuberculos con grasa	1.0	1.0	1.0	115.0	2.0	5.0	15.0	1	1.0
Leguminosas	0.5	0.5	0.5	60.0	4.0	0.5	10.0	0.5	0.5
Origen Animal MBAG	0.5	0.5	0.5	20.0	3.5	0.5	0.0	0.5	0.5
Leche Descremada	0.5	0.5	0.5	47.5	4.5	1.0	6.0	0.5	0.5
Aceites y grasas sin proteína	1.0	1.0	1.0	45.0	0.0	5.0	0.0	1	1.0
Azúcares con grasa	1.0	1.0	1.0	40.0	0.0	5.0	10.0	1	1.0
Alimentos libres en energía	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	1.0

                                             NRG: 467.50 PTN: 18 LIP: 17 CRB: 71.50
                                             
Comida - General Doble Del Desayuno

Verduras	4.0	4.0	4.0	100.0	8.0	0.0	16.0	4.00	4.00
Frutas	3.0	3.0	3.0	180.0	0.0	0.0	45.0	3.00	3.00
Cereales y tuberculos con grasa	2.0	2.0	2.0	230.0	4.0	10.0	30.0	2.00	2.00
Leguminosas	1.0	1.0	1.0	120.0	8.0	1.0	20.0	1.00	1.00
Origen Animal MBAG	1.0	1.0	1.0	40.0	7.0	1.0	0.0	1.00	1.00
Leche Descremada	1.0	1.0	1.0	95.0	9.0	2.0	12.0	1.00	1.00
Aceites y grasas sin proteína	2.0	2.0	2.0	90.0	0.0	10.0	0.0	2.00	2.00
Azúcares con grasa	2.0	2.0	2.0	80.0	0.0	10.0	20.0	2.00	2.00
Alimentos libres en energía	2.0	2.0	2.0	0.0	0.0	0.0	0.0	2.00	2.00

                                             NRG: 935 PTN: 36 LIP: 34 CRB: 143

Comida - General Sin Leche

Verduras	4.0	4.0	4.0	100.0	8.0	0.0	16.0	4.00	4.00
Frutas	3.0	3.0	3.0	180.0	0.0	0.0	45.0	3.00	3.00
Cereales y tuberculos con grasa	2.0	2.0	2.0	230.0	4.0	10.0	30.0	2.00	2.00
Leguminosas	1.5	1.5	1.5	180.0	12.0	1.5	30.0	1.5	1.5
Origen Animal MBAG	2.0	2.0	2.0	80.0	14.0	2.0	0.0	2	2.0
Aceites y grasas sin proteína	2.0	2.0	2.0	90.0	0.0	10.0	0.0	2.00	2.00
Azúcares con grasa	2.0	2.0	2.0	80.0	0.0	10.0	20.0	2.00	2.00
Alimentos libres en energía	2.0	2.0	2.0	0.0	0.0	0.0	0.0	2.00	2.00

                                             NRG: 940 PTN: 38 LIP: 33.5 CRB: 141
                                    
Cena - General Igual que el Desayuno

Verduras	2.0	2.0	2.0	50.0	4.0	0.0	8.0	2	2.0
Frutas	1.5	1.5	1.5	90.0	0.0	0.0	22.5	1.5	1.5
Cereales y tuberculos con grasa	1.0	1.0	1.0	115.0	2.0	5.0	15.0	1	1.0
Leguminosas	0.5	0.5	0.5	60.0	4.0	0.5	10.0	0.5	0.5
Origen Animal MBAG	0.5	0.5	0.5	20.0	3.5	0.5	0.0	0.5	0.5
Leche Descremada	0.5	0.5	0.5	47.5	4.5	1.0	6.0	0.5	0.5
Aceites y grasas sin proteína	1.0	1.0	1.0	45.0	0.0	5.0	0.0	1	1.0
Azúcares con grasa	1.0	1.0	1.0	40.0	0.0	5.0	10.0	1	1.0
Alimentos libres en energía	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	1.0

                                             NRG: 467.50 PTN: 18 LIP: 17 CRB: 71.50
                 
Cena - General Sin Tanta Verdura

Verduras	1.0	1.0	1.0	25.0	2.0	0.0	4.0	1	1.0
Frutas	1.0	1.0	1.0	60.0	0.0	0.0	15.0	1	1.0
Cereales y tuberculos con grasa	1.0	1.0	1.0	115.0	2.0	5.0	15.0	1	1.0
Leguminosas	0.25	0.25	0.25	30.0	2.0	0.25	5.0	0.25	0.25
Origen Animal MBAG	0.5	0.5	0.5	20.0	3.5	0.5	0.0	0.5	0.5
Leche Descremada	1.0	1.0	1.0	95.0	9.0	2.0	12.0	1	1.0
Aceites y grasas sin proteína	1.75	1.75	1.75	78.75	0.0	8.75	0.0	1.75	1.75
Azúcares sin grasa	2.0	2.0	2.0	80.0	0.0	0.0	20.0	2	2.0
Alimentos libres en energía	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	1.0

                                             NRG: 503.75 PTN: 18.5 LIP: 16.5 CRB: 71
                                
Receta Puré Datos -----------------------------------------------------------------------------------------

Leche	1.0	1.0	240.0	148.0	7.9	8.0	11.2	240.0	1
Manzana	1.0	1.0	106.0	55.0	0.3	0.2	14.7	106	1.0
Plátano	1.0	0.5	54.0	48.0	0.6	0.2	12.4	54.0	0.5
Avena en hojuelas	1.0	0.5	20.0	73.0	3.2	1.3	13.4	20.0	0.5
Canela	1.0	1.0	2.0	5.0	0.1	0.1	1.6	2	1.0
Vainilla	1.0	1.0	5.0	8.0	0.0	0.0	0.4	5	1.0
Azúcar blanca	1.0	2.0	8.0	33.0	0.0	0.0	8.4	8	2.0
Manzana	1.0	1.0	106.0	55.0	0.3	0.2	14.7	106	1.0
Plátano	1.0	0.5	54.0	48.0	0.6	0.2	12.4	54.0	0.5
Agua	1.0	1.0	240.0	0.0	0.0	0.0	0.0	240	1.0
Hielo	1.0	1.0	55.0	0.0	0.0	0.0	0.0	55	1.0
Fresa Rebanada	0.25	0.25	41.5	13.25	0.275	0.125	3.175	41.5	0.25
Azúcar blanca	1.0	2.0	8.0	33.0	0.0	0.0	8.4	8	2.0



Receta Puré Ajustado --------------------------------------------------------------------------------------

Leche	0.5	0.5	120.0	74.0	3.95	4.0	5.599999999999999	120.0	0.5
Manzana	0.5	0.5	53.0	27.5	0.15	0.1	7.35	53.0	0.5
Plátano	1.0	0.5	54.0	48.0	0.6	0.2	12.4	54.0	0.5
Avena en hojuelas	2.0	1.0	40.0	146.0	6.4	2.6	26.8	40.0	1
Canela	1.0	1.0	2.0	5.0	0.1	0.1	1.6	2	1.0
Vainilla	1.0	1.0	5.0	8.0	0.0	0.0	0.4	5	1.0
Agua	1.0	1.0	240.0	0.0	0.0	0.0	0.0	240	1.0
Hielo	1.0	1.0	55.0	0.0	0.0	0.0	0.0	55	1.0
Fresa Rebanada	0.25	0.25	41.5	13.25	0.275	0.125	3.175	41.5	0.25
Tofu	2.0	80.0	80.0	116.0	12.600000000000001	7.0	3.4000000000000004	80	80.0

                                             NRG: 437.75 PTN: 24.08 LIP: 14.12 CRB: 60.73
                                        
Nov 29 ----------------------------------------------------------------------------------------------------
